entity,type
wsi:1024_Feature_Embedding,wsi:Data_Content
wsi:4_Hop_Neighborhood,wsi:Parameter
wsi:Aggregation,wsi:WSI_Step
wsi:Attention_Pooling,wsi:Algorithm
wsi:Attention_Weighting,wsi:Parameter
wsi:Average_Pooling_3rd_Residual_Block,wsi:Parameter
wsi:Dense_Connections,wsi:Parameter
wsi:Euclidean_Space_Neighborhood,wsi:Parameter
wsi:Fast_Approximate_k_NN,wsi:Algorithm
wsi:Feature_Extraction,wsi:WSI_Step
wsi:H5,wsi:Data_Format
wsi:NonOverlapping_Patching,wsi:Algorithm
wsi:OTSU_Thresholding,wsi:Algorithm
wsi:PNG,wsi:Data_Format
wsi:PatchGCN_StepApplication_1,wsi:Step_Application
wsi:PatchGCN_StepApplication_2,wsi:Step_Application
wsi:PatchGCN_StepApplication_3,wsi:Step_Application
wsi:PatchGCN_StepApplication_4,wsi:Step_Application
wsi:PatchGCN_StepApplication_5,wsi:Step_Application
wsi:Patch_Extraction,wsi:WSI_Step
wsi:Patch_Size_256,wsi:Parameter
wsi:Pretrained_ImageNet,wsi:Parameter
wsi:ResNet50,wsi:Algorithm
wsi:Research_Paper_PatchGCN,wsi:Research_Paper
wsi:Residual_Connections,wsi:Parameter
wsi:SVS,wsi:Data_Format
wsi:Saturation_Channel_Binarization,wsi:Parameter
wsi:Slide_Level_Embedding,wsi:Data_Content
wsi:Softmax_Aggregation,wsi:Parameter
wsi:TIFF,wsi:Data_Format
wsi:Tissue_Mask,wsi:Data_Content
wsi:Tissue_Masking,wsi:WSI_Step
wsi:Tissue_Patches,wsi:Data_Content
wsi:WSI_Graph,wsi:Data_Content
wsi:WSI_Graph_Construction,wsi:WSI_Step
wsi:Whole_Slide_Image,wsi:Data_Content
wsi:k_8,wsi:Parameter
