entity,type
wsi:Adam_Optimization_Algorithm,wsi:Algorithm
wsi:Adaptive_Weighted_Sum,wsi:Parameter
wsi:Attention_Weighting,wsi:Parameter
wsi:Attention_Weights_from_AttnMIL,wsi:Parameter
wsi:Batch_Size_1,wsi:Parameter
wsi:Cox_Loss_Function,wsi:Parameter
wsi:Cox_Proportional_Hazards_Loss_Algorithm,wsi:Algorithm
wsi:Cross_Entropy_Based_Loss,wsi:Parameter
wsi:Epochs_20,wsi:Parameter
wsi:Feature_Dimension_1024,wsi:Parameter
wsi:Global_Attention_Pooled_Embedding,wsi:Data_Content
wsi:Global_Attention_Pooling,wsi:Parameter
wsi:Global_Neighborhood_Aggregation,wsi:WSI_Step
wsi:Global_Neighborhood_Aggregation_Algorithm,wsi:Algorithm
wsi:Gradient_Accumulation_Steps_32,wsi:Parameter
wsi:H5,wsi:Data_Format
wsi:HSV_Colorspace_Transformation,wsi:Parameter
wsi:Hierarchical_Feature_Representation,wsi:Data_Content
wsi:Hop_Neighborhood_4,wsi:Parameter
wsi:K_NN_k_8,wsi:Parameter
wsi:Layer_Count_4,wsi:Parameter
wsi:Learning_Rate_2e-4,wsi:Parameter
wsi:Message_Construction_Function,wsi:Parameter
wsi:Model_Training,wsi:WSI_Step
wsi:Otsu_Binarization,wsi:Parameter
wsi:Patch_GCN_Architecture,wsi:WSI_Step
wsi:Patch_GCN_Message_Passing_Algorithm,wsi:Algorithm
wsi:Patch_GCN_Research_Paper,wsi:Research_Paper
wsi:Patch_GCN_StepApplication_1,wsi:Step_Application
wsi:Patch_GCN_StepApplication_2,wsi:Step_Application
wsi:Patch_GCN_StepApplication_3,wsi:Step_Application
wsi:Patch_GCN_StepApplication_4,wsi:Step_Application
wsi:Patch_GCN_StepApplication_5,wsi:Step_Application
wsi:Patch_Size_256x256,wsi:Parameter
wsi:Permutation_Invariant_Aggregation,wsi:Parameter
wsi:Raw_WSI_Data,wsi:Data_Content
wsi:ReLU_Activation,wsi:Parameter
wsi:Receptive_Field_3x3,wsi:Parameter
wsi:ResNet50_Backbone,wsi:Parameter
wsi:Residual_Connection,wsi:Parameter
wsi:SVS,wsi:Data_Format
wsi:Softmax_Aggregation,wsi:Parameter
wsi:Survival_Prediction_Output,wsi:Data_Content
wsi:Trained_Patch_GCN_Model,wsi:Data_Content
wsi:Update_Function,wsi:Parameter
wsi:WSI_Graph,wsi:Data_Content
wsi:WSI_Graph_Construction,wsi:WSI_Step
wsi:WSI_Graph_Construction_Algorithm,wsi:Algorithm
wsi:Weight_Decay_1e-5,wsi:Parameter
