entity,type
wsi:CSV,wsi:Data_Format
wsi:Diagonal_Covariance,wsi:Parameter
wsi:Downstream_Task_Prediction,wsi:WSI_Step
wsi:EM_Iterations,wsi:Parameter
wsi:Feature_Extraction,wsi:WSI_Step
wsi:Feature_Extractor_Algorithm,wsi:Algorithm
wsi:Feature_Extractor_Model,wsi:Parameter
wsi:GMM_Aggregation_Algorithm,wsi:Algorithm
wsi:GMM_Components,wsi:Parameter
wsi:H5,wsi:Data_Format
wsi:Non_Overlapping_Patches,wsi:Parameter
wsi:Nonlinearity_Type,wsi:Parameter
wsi:Ours_StepApplication_1,wsi:Step_Application
wsi:Ours_StepApplication_2,wsi:Step_Application
wsi:Ours_StepApplication_3,wsi:Step_Application
wsi:Ours_StepApplication_4,wsi:Step_Application
wsi:PNG,wsi:Data_Format
wsi:Patch_Embeddings,wsi:Data_Content
wsi:Patch_Size,wsi:Parameter
wsi:Patch_Tessellation_Algorithm,wsi:Algorithm
wsi:Per_Prototype_Mapping,wsi:Parameter
wsi:Prediction_Head_Type,wsi:Parameter
wsi:Prediction_Output,wsi:Data_Content
wsi:Pretrained_Dataset,wsi:Parameter
wsi:Prototype_Based_Aggregation,wsi:WSI_Step
wsi:Prototype_Initialization_Method,wsi:Parameter
wsi:Research_Paper_Ours,wsi:Research_Paper
wsi:SVS,wsi:Data_Format
wsi:Slide_Embedding,wsi:Data_Content
wsi:Structured_MLP_Predictor_Algorithm,wsi:Algorithm
wsi:WSI_Patch_Tessellation,wsi:WSI_Step
wsi:WSI_Patches,wsi:Data_Content
wsi:Whole_Slide_Image,wsi:Data_Content
