entity,type
wsi:Application_of_Step_1,wsi:Application_of_Step
wsi:Application_of_Step_2,wsi:Application_of_Step
wsi:Application_of_Step_3,wsi:Application_of_Step
wsi:Attention_Based_Pooling,wsi:Algorithm
wsi:Attention_Weighting,wsi:Parameter
wsi:Cox_Proportional_Hazards_Loss,wsi:Parameter
wsi:Cross_Entropy_Based_Loss,wsi:Parameter
wsi:Dense_Connections,wsi:Parameter
wsi:Downsampled_HSV_Colorspace_Transformation,wsi:Parameter
wsi:Edge_Feature_Interaction,wsi:Parameter
wsi:Effective_Receptive_Field_2302x2302,wsi:Parameter
wsi:Fast_Approximate_kNN_k8,wsi:Parameter
wsi:Feature_Extraction,wsi:WSI_Processing_Stage
wsi:GCN_Layers_4,wsi:Parameter
wsi:Global_Attention_Pooling,wsi:Parameter
wsi:Global_Neighborhood_Aggregation_and_Supervision,wsi:WSI_Processing_Step
wsi:Graph_Convolutional_Network,wsi:Algorithm
wsi:Message_Passing_Functions,wsi:Parameter
wsi:Otsu_Binarization_Saturation_Channel,wsi:Parameter
wsi:Patch_GCN_Architecture,wsi:WSI_Processing_Step
wsi:Patch_Size_256x256,wsi:Parameter
wsi:Prediction,wsi:WSI_Processing_Stage
wsi:ReLU_Activation,wsi:Parameter
wsi:Receptive_Field_3x3,wsi:Parameter
wsi:ResNet50_Feature_Extractor,wsi:Algorithm
wsi:Research_Paper_1,wsi:Research_Paper
wsi:Residual_Mapping,wsi:Parameter
wsi:Softmax_Aggregation,wsi:Parameter
wsi:WSI_Dataset_TCGA,wsi:Dataset
wsi:WSI_Graph_Construction,wsi:WSI_Processing_Step
wsi:WSI_Preprocessing,wsi:WSI_Processing_Stage
