entity,type
wsi:Algorithm_EM,wsi:Algorithm
wsi:Algorithm_GMM,wsi:Algorithm
wsi:Application_of_Step_1,wsi:Application_of_Step
wsi:Application_of_Step_2,wsi:Application_of_Step
wsi:Application_of_Step_3,wsi:Application_of_Step
wsi:Application_of_Step_4,wsi:Application_of_Step
wsi:Application_of_Step_5,wsi:Application_of_Step
wsi:Downstream_Prediction,wsi:WSI_Processing_Step
wsi:Feature_Extraction,wsi:WSI_Processing_Step
wsi:Interpretability,wsi:WSI_Processing_Step
wsi:Parameter_C,wsi:Parameter
wsi:Parameter_EM_iterations,wsi:Parameter
wsi:Parameter_M,wsi:Parameter
wsi:Parameter_N_j,wsi:Parameter
wsi:Parameter_Sigma_c_j,wsi:Parameter
wsi:Parameter_d,wsi:Parameter
wsi:Parameter_feature_extractor,wsi:Parameter
wsi:Parameter_initialization_Sigma_c_0,wsi:Parameter
wsi:Parameter_initialization_h_c,wsi:Parameter
wsi:Parameter_initialization_mu_c_0,wsi:Parameter
wsi:Parameter_initialization_pi_c_0,wsi:Parameter
wsi:Parameter_interpretability_map,wsi:Parameter
wsi:Parameter_magnification,wsi:Parameter
wsi:Parameter_mu_c_j,wsi:Parameter
wsi:Parameter_patch_size,wsi:Parameter
wsi:Parameter_pi_c_j,wsi:Parameter
wsi:Parameter_predictor_head,wsi:Parameter
wsi:Parameter_prototype_set,wsi:Parameter
wsi:Parameter_sampling_strategy,wsi:Parameter
wsi:Parameter_similarity_map,wsi:Parameter
wsi:Parameter_slide_representation_size,wsi:Parameter
wsi:Parameter_structured_MLP,wsi:Parameter
wsi:Prototype_Based_Aggregation,wsi:WSI_Processing_Step
wsi:Research_Paper_ours,wsi:Research_Paper
wsi:WSI_Patching,wsi:WSI_Processing_Step
