entity,type
wsi:ABMIL,owl:Class
wsi:BalancedAccuracy,owl:Class
wsi:CPTAC,owl:Class
wsi:CohenKappa,owl:Class
wsi:ConcordanceIndex,owl:Class
wsi:Dataset,owl:Class
wsi:DeepSets,owl:Class
wsi:DownstreamTask,owl:Class
wsi:EBRAINS,owl:Class
wsi:EMAlgorithm,owl:Class
wsi:Eval_Panther_All_MLP_EBRAINS_Fine,owl:Individual
wsi:EvaluationResult,owl:Class
wsi:FeatureExtraction,owl:Class
wsi:FeatureVector,owl:Class
wsi:GMMAggregation,owl:Class
wsi:GMMComponent,owl:Class
wsi:H2T,owl:Class
wsi:InterpretabilityAnalysis,owl:Class
wsi:NLST,owl:Class
wsi:OptimalTransport,owl:Class
wsi:Panther,owl:Class
wsi:Panther_All,owl:Class
wsi:Panther_Bot,owl:Class
wsi:Panther_Top,owl:Class
wsi:Panther_WA,owl:Class
wsi:Patch,owl:Class
wsi:PatchExtraction,owl:Class
wsi:ProtoCounts,owl:Class
wsi:Prototype,owl:Class
wsi:PrototypeAssignmentMap,owl:Class
wsi:PrototypeSet,owl:Class
wsi:SimilarityMap,owl:Class
wsi:SlideEmbedding,owl:Class
wsi:SlideEmbeddingVector,owl:Class
wsi:SubtypingTask,owl:Class
wsi:SurvivalTask,owl:Class
wsi:TCGA,owl:Class
wsi:TransMIL,owl:Class
wsi:UNI,owl:Class
wsi:WeightedF1,owl:Class
wsi:WholeSlideImage,owl:Class
wsi:Workflow,owl:Class
wsi:covarianceMatrix,owl:DatatypeProperty
wsi:meanVector,owl:DatatypeProperty
wsi:mixtureProbability,owl:DatatypeProperty
