entity,type
ex:ALiBi2D,ml:PositionalEncoding
ex:CONCHv1_5,ml:TextEncoder
ex:CPTAC,ds:Dataset
ex:CaptionRewriting,ml:TextProcessing
ex:CoCaBasedTraining,ml:MultimodalPretraining
ex:CodeRepository,prov:Software
ex:CrossModalRetrieval,ml:EvaluationTask
ex:DataAvailability,prov:Activity
ex:FrozenFeatureAugmentation,ml:Augmentation
ex:GTEx,ds:Dataset
ex:Hardware,prov:Hardware
ex:IBOTProtocol,ml:TrainingProtocol
ex:KNNProbing,ml:EvaluationTask
ex:LinearProbing,ml:EvaluationTask
ex:Mass340K,ds:Dataset
ex:Mass340K_12p5,ds:DatasetPartition
ex:Mass340K_25p,ds:DatasetPartition
ex:Mass340K_50p,ds:DatasetPartition
ex:MultimodalDecoder,ml:Decoder
ex:OurModel,ml:FoundationModel
ex:OurModelV,ml:SlideEncoder
ex:OurModelVCR,ml:MultimodalModel
ex:PathChat,ml:MultimodalLLM
ex:Qwen2_7B_Instruct,ml:LLM
ex:RareCancer,ds:Dataset
ex:RareCancerPublic,ds:Dataset
ex:RegionCropViews,ml:ViewGeneration
ex:ReportCleaning,ml:TextProcessing
ex:ReportGeneration,ml:EvaluationTask
ex:ReportRewriting,ml:TextProcessing
ex:SlideReportPairs,ds:Dataset
ex:SlideRetrieval,ml:EvaluationTask
ex:Software,prov:Software
ex:Stage1,ex:PretrainingStage
ex:Stage2,ex:PretrainingStage
ex:Stage3,ex:PretrainingStage
ex:SyntheticCaptions,ds:Dataset
ex:TCGA,ds:Dataset
ex:TCGA_OT,ds:Dataset
ex:TCGA_Slide_Reports,ds:Dataset
ex:TCGA_UT_8K,ds:Dataset
ex:ZeroShotClassification,ml:EvaluationTask
