entity,type
cpath:ComputationalPathology,owl:Class
cpath:ComputerVision,owl:Class
cpath:GraphConvolutionalNetwork,owl:Class
cpath:Interpretability,owl:Class
cpath:WeaklySupervisedLearning,owl:Class
patchgcn:5FoldCrossValidation,patchgcn:ValidationMethod
patchgcn:AttentionHeatmap,patchgcn:Visualization
patchgcn:AttentionPooling,owl:Class
patchgcn:BLCA,dcterms:Dataset
patchgcn:BRCA,dcterms:Dataset
patchgcn:CodeRepository,dcterms:Software
patchgcn:ConcordanceIndex,patchgcn:PerformanceMetric
patchgcn:ConstructGraph,prov:Activity
patchgcn:DeepGCN,patchgcn:GCNImplementation
patchgcn:EuclideanSpace,patchgcn:Space
patchgcn:EvaluateModel,prov:Activity
patchgcn:ExtractFeatures,prov:Activity
patchgcn:GBMLGG,dcterms:Dataset
patchgcn:GCNLayer,owl:Class
patchgcn:GCNLayer,patchgcn:GCNLayer
patchgcn:GlobalPooling,prov:Activity
patchgcn:Graph,owl:Class
patchgcn:KNN,patchgcn:NeighborhoodMethod
patchgcn:KaplanMeierCurve,patchgcn:Visualization
patchgcn:LUAD,dcterms:Dataset
patchgcn:MLPUpdate,patchgcn:UpdateFunction
patchgcn:MessageFunction,patchgcn:MessageFunction
patchgcn:MessagePassing,prov:Activity
patchgcn:Outperforms,patchgcn:Comparison
patchgcn:Patch,owl:Class
patchgcn:PatchGCN,owl:Class
patchgcn:PatchGCN,patchgcn:PatchGCN
patchgcn:PredictSurvival,prov:Activity
patchgcn:PreprocessWSI,prov:Activity
patchgcn:ResNet50,schema1:NeuralNetwork
patchgcn:ResidualConnection,patchgcn:ConnectionType
patchgcn:SegmentTissue,prov:Activity
patchgcn:SoftmaxAggregation,patchgcn:AggregationFunction
patchgcn:TCGA,dcterms:Dataset
patchgcn:TrainModel,prov:Activity
patchgcn:UCEC,dcterms:Dataset
patchgcn:WSI,owl:Class
patchgcn:WSIGraph,owl:Class
patchgcn:GraphConvolutionalNetworks, 
