entity,type
wsi:8192x8192_ROI_Patches,wsi:Data_Content
wsi:Batch_Size_1024,wsi:Parameter
wsi:Batch_Size_3136,wsi:Parameter
wsi:Beam_Group_1,wsi:Parameter
wsi:Beam_Search_Decoding,wsi:Algorithm
wsi:Beam_Size_5,wsi:Parameter
wsi:CLIP_Similarity,wsi:Algorithm
wsi:CONCHv1_5,wsi:Algorithm
wsi:CSV,wsi:Data_Format
wsi:Centering_Yes,wsi:Parameter
wsi:Cleaned_Report_Text,wsi:Data_Content
wsi:CoCa,wsi:Algorithm
wsi:Cosine_Similarity,wsi:Algorithm
wsi:Cox_Proportional_Hazards,wsi:Algorithm
wsi:Cross_Modal_Retrieval,wsi:Step_Application
wsi:Cross_Modal_Retrieval,wsi:WSI_Step
wsi:Cross_Modal_Retrieval_Results,wsi:Data_Content
wsi:Cross_Validation_5_Folds,wsi:Parameter
wsi:Distance_Metric_Euclidean,wsi:Parameter
wsi:Epochs_270,wsi:Parameter
wsi:Euclidean_Distance,wsi:Algorithm
wsi:Feature_Dim_768,wsi:Parameter
wsi:Few_Shot_Classification,wsi:Step_Application
wsi:Few_Shot_Classification,wsi:WSI_Step
wsi:Few_Shot_Classification_Results,wsi:Data_Content
wsi:Generated_Report_Text,wsi:Data_Content
wsi:Gradient_Accumulation_1,wsi:Parameter
wsi:H5,wsi:Data_Format
wsi:JSON,wsi:Data_Format
wsi:K_20,wsi:Parameter
wsi:K_NN,wsi:Algorithm
wsi:K_NN_Probing_Evaluation,wsi:Step_Application
wsi:K_NN_Probing_Results,wsi:Data_Content
wsi:K_Nearest_Neighbor_Probing,wsi:WSI_Step
wsi:Learning_Rate_1e-4,wsi:Parameter
wsi:Linear_Probing,wsi:WSI_Step
wsi:Linear_Probing_Evaluation,wsi:Step_Application
wsi:Linear_Probing_Results,wsi:Data_Content
wsi:Logistic_Regression,wsi:Algorithm
wsi:Mass_340K_WSI_Dataset,wsi:Data_Content
wsi:Max_Iterations_500,wsi:Parameter
wsi:Max_Tokens_2048,wsi:Parameter
wsi:Normalization_L2,wsi:Parameter
wsi:PNG,wsi:Data_Format
wsi:Patch_Size_512,wsi:Parameter
wsi:PathChat,wsi:Algorithm
wsi:Pretraining_Step_1,wsi:Step_Application
wsi:Prompt_Detailed_Morphology,wsi:Parameter
wsi:Prompt_Rewrite,wsi:Parameter
wsi:Qwen2_7B_Instruct,wsi:Algorithm
wsi:Regularization_C_1e1_to_1e5,wsi:Parameter
wsi:Regularization_L2_1e-6_to_1e5,wsi:Parameter
wsi:Report_Generation,wsi:Step_Application
wsi:Report_Generation,wsi:WSI_Step
wsi:Research_Paper_TITAN,wsi:Research_Paper
wsi:Retrieved_Slides,wsi:Data_Content
wsi:SVS,wsi:Data_Format
wsi:SimpleShot,wsi:Algorithm
wsi:Slide_Report_Curation,wsi:Step_Application
wsi:Slide_Report_Pairs,wsi:Data_Content
wsi:Slide_Representation_Model_v,wsi:Data_Content
wsi:Slide_Retrieval,wsi:Step_Application
wsi:Slide_Retrieval,wsi:WSI_Step
wsi:Survival_Analysis,wsi:Step_Application
wsi:Survival_Analysis,wsi:WSI_Step
wsi:Survival_Prediction_Results,wsi:Data_Content
wsi:Synthetic_Caption_Generation,wsi:Step_Application
wsi:Synthetic_Captions,wsi:Data_Content
wsi:TXT,wsi:Data_Format
wsi:Temperature_0.7,wsi:Parameter
wsi:Text_Prompt_Ensemble,wsi:Parameter
wsi:Training_Epochs_20,wsi:Parameter
wsi:Unimodal_Visual_Pretraining,wsi:Step_Application
wsi:Unimodal_Visual_Pretraining,wsi:WSI_Step
wsi:Vision_Language_Continual_Pretraining,wsi:Step_Application
wsi:Vision_Language_Continual_Pretraining,wsi:WSI_Step
wsi:Vision_Language_Model_vcr,wsi:Data_Content
wsi:Weight_Decay_1e-4,wsi:Parameter
wsi:Zero_Shot_Classification,wsi:Step_Application
wsi:Zero_Shot_Classification,wsi:WSI_Step
wsi:Zero_Shot_Classification_Results,wsi:Data_Content
wsi:iBOT,wsi:Algorithm
